CTID,species,tissue_class,tissue_type,main_cancer_type,cancer_type,cancer_type_detail,big_cell_type,major_cell_type,cell_name,cell_marker,PMID,Paper_Title,journal,year,technology_type_for_discovery,technology_platform_for_discovery,Phenotype_type,main_Phenotype_label,Phenotype_label,Association_Type,model_type,technology_type_for_validation,technology_platform_for_validation,evidence_type,Phenotype_evidence
CT129,Human,Gut,Stomach,Gastric Cancer,Gastric Cancer,Gastric Cancer,Endothelial cell,Activated endothelial cell,EN10-SERPINE1,SERPINE1、RAMP2、PECAM1,36550535,Parallel single‑cell and bulk transcriptome analyses reveal key features of the gastric tumor microenvironment,Genome Biology,2022,Single-cell RNA sequencing,10X Genomics,clinical phenotype,Survival,Overall Survival,poor,clinical sample,survival analysis,analysis,clinical information,"Cluster fraction comparison between normal and malignant gastric tissue identified clusters EN10-SERPINE1 and EN03-ESM1, hereafter referred to as activated endothelial cells, as almost exclusively tumor-specific cell types (Fig. 3b, S2g).

In line with angiogenesis being critical for sustained tumor growth, we speculated that these cell types might be linked to poor survival and found that SERPINE1 expression was associated with a drastically worsened survival in the independent gastric cancer cohort from TCGA (Fig. 3d).

Notably, patients with higher fraction of tumor-associated cell subtypes F13-CTHRC1 and EN10-SERPINE1 had significantly reduced survival time (Fig. 7a, b)."
CT130,Human,Gut,Stomach,Gastric Cancer,Gastric Cancer,Gastric Cancer,Fibroblast,Activated fibroblast,F13-CTHRC1,CTHRC1、DCN、LUM,36550535,Parallel single‑cell and bulk transcriptome analyses reveal key features of the gastric tumor microenvironment,Genome Biology,2022,Single-cell RNA sequencing,10X Genomics,clinical phenotype,Survival,Overall Survival,poor,clinical sample,survival analysis,analysis,clinical information,"All genes from cluster U7 were specifically expressed in F13-CTHRC1 activated fibroblasts and were associated with poor survival in an independent gastric cancer cohort (Fig. 2e) as well as in several cancer indications from TCGA (Additional file 1: Fig. S2e-f).

Notably, patients with higher fraction of tumor-associated cell subtypes F13-CTHRC1 and EN10-SERPINE1 had significantly reduced survival time (Fig. 7a, b). "
CT131,Human,Cervical,Cervical,Cervical cancer,Cervical carcinoma,Cervical carcinoma,Epithelial cell,epithelial cell,metastatic LN-derived epithelial cell,"CDH2, TGFBI, ITGB1",36569924,Integrated single-cell transcriptome analysis of the tumor ecosystems underlying cervical cancer metastasis,Frontiers in immunology,2022,single cell transcriptome,10× Genomics,clinical phenotype,Survival,worse prognosis,,clinical samples,survival analysis,analysis,clinical data,"According to TCGA data, we found that high expression of classical mesenchymal markers (e.g., CDH2, TGFBI, and ITGB1) had a worse prognosis, while the expression of epithelial markers (e.g., CDH1, CRB3, and DSP) had no effect on the survival, indicating that mesenchymal markers could be used as a predictor of CC metastasis (Supplementary Figure S5)."
CT132,Human,Gut,Colorectum,Colorectal cancer,Colorectal Cancer,Colorectal adenocarcinoma,Macrophage,Macrophages,APOE+CTSZ+tumor-associated macrophage,"APOE, CCL18, GPNMB, CTSL, SEPP1, CTSZ",36587392, Single-cell and spatial analyses reveal the association between gene expression of glutamine synthetase with the immunosuppressive phenotype of APOE+CTSZ+TAM in cancers.,Molecular oncology,2023,single cell transcriptome,CRC Single Cell Portal,clinical phenotype,Survival,shorter survival,,clinical samples,survival analysis,analysis,clinical data,We analyzed the expression of APOE and CTSZ within the bulk transcriptomes of CRC and found that the higher level of jointed APOE and CTSZ expression was correlated with worse overall survival，and disease-free survival in TCGA-COADREAD
CT133,Human,Breast,Breast,Breast cancer,Breast Cancer,Breast carcinoma,Epithelial cell,epithelial cells, early-disseminated cancer cell (EDC),,36594618,Combined Single-Cell and Spatial Transcriptomics Reveal the Metabolic Evolvement of Breast Cancer during Early Dissemination,Advanced science,2023,spatial transcriptome,10× Genomics,clinical phenotype,Others,existence,,clinical samples,H&E staining,"Pan noramic MIDI FL, 3DHISTECH",clinical data,"By projecting all ST clusters onto cryosections, we observed a noticeable distribution pattern, which was consistent with the histological annotations under H&E staining (Figure 4A, right).Together with the results from pseudo-time analysis, we speculated that the evolvement from the malignant stage (C6) to the dissemina tion stage (C8) is in parallel with the route from the inside of the tumor to the leading edge and finally to metastatic sites."
CT134,Human,Breast,Breast,Breast cancer,Breast Cancer,Breast carcinoma,Epithelial cell,epithelial cell, early-disseminated cancer cell (EDC),,36594618,Combined Single-Cell and Spatial Transcriptomics Reveal the Metabolic Evolvement of Breast Cancer during Early Dissemination,Advanced science,2023,single cell transcriptome,10× Genomics,biological phenotype,Tumor Metastasis,migration,,cell line,Transwell Assays, Corning Transwell Inserts (8.0 μm),protein,"In the transwell migration assay, mi grated cells transfected with shIL4I1 were remarkably decreased by 60% or more compared with control (Figure 5B and Figure S5B, Supporting Information), indicating high levels of COX6C and DHRS2 could facilitate breast cancer invasion."
CT135,Human,Breast,Breast,Breast cancer,Breast Cancer,Breast carcinoma,Epithelial cell,epithelial cells, early-disseminated cancer cell (EDC),,36594618,Combined Single-Cell and Spatial Transcriptomics Reveal the Metabolic Evolvement of Breast Cancer during Early Dissemination,Advanced science,2023,single cell transcriptome,10× Genomics,clinical phenotype,Survival,poor OS and distant metastasis-free survival (DMFS),,clinical samples,survival analysis,analysis,clinical data,"Further more, COX6C upregulation was associated with poor overall sur vival (OS) in basal-like breast cancer, while poor OS and distant metastasis-free survival (DMFS) in HER2-positive breast cancer. DHRS2 upregulation was associated with poor OS and DMFS in basal-like breast cancer (Figure 6F,G). Collectively, these data validated that the OXPHOS pathway exhibited great value in pre dicting the risk of lymphatic metastasis and prognosis in breast cancer."
CT136,Human,Breast,Breast,Breast cancer,Breast Cancer,Breast carcinoma,Epithelial cell,epithelial cells, early-disseminated cancer cell (EDC),,36594618,Combined Single-Cell and Spatial Transcriptomics Reveal the Metabolic Evolvement of Breast Cancer during Early Dissemination,Advanced science,2023,single cell transcriptome,10× Genomics,biological phenotype,Tumor Growth,proliferation inhibition,,cell line,Cell Proliferation Assays," Cell Counting Kit-8 (Dojindo, Rockville, MD, USA)",protein,"To evaluate the role of COX6C and DHRS2 in breast cancer cells, we utilized short hairpin RNA (shRNA) to generate T-47D, MDA MB-231, and MCF-7 cell lines with low COX6C or DHRS2 expres sion. Downregulation of COX6C and DHRS2 notably inhibited the proliferation of breast cancer cells (Figure 5A and Figure S5A, Supporting Information)."
CT137,Human,Gut,Colorectum,Colorectal cancer,Colorectal Cancer,Colorectal adenocarcinoma,Cancer cell,Cancer cell,HLA-G+ cancer cells,HLA-G+,36656712,Spatial and single-cell transcriptomics decipher the cellular environment containing HLA-G+ cancer cells and SPP1+ macrophages in colorectal cancer,Cell reports,2023,single cell transcriptome,10× Genomics,biological phenotype,Tumor Growth,tumor growth,,cell line(MC-38),immunohistochemistry,Santa Cruz Biotechnology,protein," H2-M3 KO reduced CRC tumor volume in xenograft mouse models (Figures 6B and 6C). To investigate the cause, we performed IHC of the tumor xenografts and observed that tumor tissue from H2-M3 KO cells exhibited weaker H2-M3 staining and higher SPP1 and CD68 staining (SPP1+ macrophages) compared with wild-type cells (Figures 6D and 6E). "
CT138,Human,Gut,Colorectum,Colorectal cancer,Colorectal Cancer,Colorectal adenocarcinoma,Macrophage,Macrophages,SPP1+ macrophages,"SPP1, CD68",36656712,Spatial and single-cell transcriptomics decipher the cellular environment containing HLA-G+ cancer cells and SPP1+ macrophages in colorectal cancer,Cell reports,2023,single cell transcriptome,10× Genomics,biological phenotype,Tumor Invasion,invasion,,clinical samples,immunofluorescence,Abcam,protein," Fluorescence multiplex immunostaining showed that macrophages were present throughout the tumor; however, SPP1+ macrophages were present only at the invasive front "
CT139,Human,Gut,Colorectum,Colorectal cancer,Colorectal Cancer,Colorectal adenocarcinoma,Macrophage,Macrophages,SPP1+ macrophages,"SPP1, CD68",36656712,Spatial and single-cell transcriptomics decipher the cellular environment containing HLA-G+ cancer cells and SPP1+ macrophages in colorectal cancer,Cell reports,2023,single cell transcriptome,10× Genomics,biological phenotype,Tumor Growth,tumor growth,,cell line(MC-38),immunohistochemistry,Santa Cruz Biotechnology,protein," H2-M3 KO reduced CRC tumor volume in xenograft mouse models (Figures 6B and 6C). To investigate the cause, we performed IHC of the tumor xenografts and observed that tumor tissue from H2-M3 KO cells exhibited weaker H2-M3 staining and higher SPP1 and CD68 staining (SPP1+ macrophages) compared with wild-type cells (Figures 6D and 6E). "
CT140,Human,Cervical,Cervical,Cervical cancer,Cervical carcinoma,Cervical carcinoma,Macrophage,macrophage,APOE+ Mac,"APOE, APOC1, C1QC",36706185,Single-cell dissection of cellular and molecular features underlying human cervical squamous cell carcinoma initiation and progression,Science advances,2023,single cell transcriptome,10× Genomics,clinical phenotype,Survival,negatively correlated with survival,,clinical samples,survival analysis,analysis,clinical data,"This showed that the frequency of both CCL20+ and APOE+ macrophages was nega tively correlated with survival (P < 0.0001 and = 0.023, respectively, log-rank test; Fig. 4F), while the abundance of CLEC9A+ DC was positively correlated with survival (P = 0.005, log-rank test; Fig. 4F)."
CT141,Human,Cervical,Cervical,Cervical cancer,Cervical carcinoma,Cervical carcinoma,Macrophage,macrophage,CCL20+ Mac,"CCL20, CXCL8, IL1B",36706185,Single-cell dissection of cellular and molecular features underlying human cervical squamous cell carcinoma initiation and progression,Science advances,2023,single cell transcriptome,10× Genomics,clinical phenotype,Survival,negatively correlated with survival,,clinical samples,survival analysis,analysis,clinical data,"This showed that the frequency of both CCL20+ and APOE+ macrophages was negatively correlated with survival (P < 0.0001 and = 0.023, respectively, log-rank test; Fig. 4F), while the abundance of CLEC9A+ DC was positively correlated with survival (P = 0.005, log-rank test; Fig. 4F)."
CT142,Human,Cervical,Cervical,Cervical cancer,Cervical carcinoma,Cervical carcinoma,Natural Killer cell,NK cell,CD16+ NK,"FCGR3A, FGFBP2, MYOM2",36706185,Single-cell dissection of cellular and molecular features underlying human cervical squamous cell carcinoma initiation and progression,Science advances,2023,single cell transcriptome,10× Genomics,clinical phenotype,Survival,longer survival,,clinical samples,survival analysis,analysis,clinical data,"We found that that high CD16+ NK and low CD56+ NK cell frequencies were correlated with longer survival of patients with CESC (P < 0.05, log-rank test; Fig. 5E), indicative of a potentially antagonistic role of each subset."
CT143,Human,Cervical,Cervical,Cervical cancer,Cervical carcinoma,Cervical carcinoma,Natural Killer cell,NK cell,CD56+ NK,"NCAM1, TMIGD2, XCL2",36706185,Single-cell dissection of cellular and molecular features underlying human cervical squamous cell carcinoma initiation and progression,Science advances,2023,single cell transcriptome,10× Genomics,clinical phenotype,Survival,shorter survival,,clinical samples,survival analysis,analysis,clinical data,"We found that that high CD16+ NK and low CD56+ NK cell frequencies were correlated with longer survival of patients with CESC (P < 0.05, log-rank test; Fig. 5E), indicative of a potentially antagonistic role of each subset."
CT144,Human,Cervical,Cervical,Cervical cancer,Cervical carcinoma,Cervical carcinoma,Dendritic cell,dendritic cell,CLEC9A+ DC,"CLEC9A, WDFY4, CPVL",36706185,Single-cell dissection of cellular and molecular features underlying human cervical squamous cell carcinoma initiation and progression,Science advances,2023,single cell transcriptome,10× Genomics,clinical phenotype,Survival,positively correlated with survival,,clinical samples,survival analysis,analysis,clinical data,"This showed that the frequency of both CCL20+ and APOE+ macrophages was nega tively correlated with survival (P < 0.0001 and = 0.023, respectively, log-rank test; Fig. 4F), while the abundance of CLEC9A+ DC was positively correlated with survival (P = 0.005, log-rank test; Fig. 4F)."
CT145,Human,Cervical,Cervical,Cervical cancer,Cervical carcinoma,Cervical carcinoma,Fibroblast,Fibroblast,mCAFs,"PDGFRA, LUM, DCN",36706185,Single-cell dissection of cellular and molecular features underlying human cervical squamous cell carcinoma initiation and progression,Science advances,2023,single cell transcriptome,10× Genomics,biological phenotype,Tumor Metastasis,enhanced tumor sphere formation and the migration of CESC cells,,clinical samples,"co-culture, Migration assays","Beijing Beina Chuanglian Biotechnology Institute, American Type Culture Collection",protein,The presence of mCAFs significantly enhanced tumor sphere formation and the migration of CESC cells (Fig. 8D).
CT146,Human,Cervical,Cervical,Cervical cancer,Cervical carcinoma,Cervical carcinoma,Fibroblast,Fibroblast,mCAFs,"PDGFRA, LUM, DCN",36706185,Single-cell dissection of cellular and molecular features underlying human cervical squamous cell carcinoma initiation and progression,Science advances,2023,single cell transcriptome,10× Genomics,clinical phenotype,Survival,poor prognosis,,clinical samples,survival analysis,analysis,clinical data,"Notably, mCAF abundance was significantly correlated with poor survival of patients with CESC (Fig. 7H), indicating that mCAFs may promote CESC progression."
CT147,Human,Cervical,Cervical,Cervical cancer,Cervical carcinoma,Cervical carcinoma,Endothelial cell,endothelial cell,MHChigh EC,"HLA-DPA1, SELP",36706185,Single-cell dissection of cellular and molecular features underlying human cervical squamous cell carcinoma initiation and progression,Science advances,2023,single cell transcriptome,10× Genomics,clinical phenotype,Survival,longer survival,,clinical samples,survival analysis,analysis,clinical data,"Survival analysis showed that the abundance of PODXL+ EC was negatively correlated with CESC patients’ survival (P = 0.043, log-rank test; Fig. 6G), while there was some evidence of a possible positive correlation between MHChigh EC frequency and survival time (P = 0.072, log-rank test; Fig. 6G)."
CT148,Human,Cervical,Cervical,Cervical cancer,Cervical carcinoma,Cervical carcinoma,Endothelial cell,endothelial cell,PODXL+ EC,"PODXL, INSR",36706185,Single-cell dissection of cellular and molecular features underlying human cervical squamous cell carcinoma initiation and progression,Science advances,2023,single cell transcriptome,10× Genomics,clinical phenotype,Survival,shorter survival,,clinical samples,survival analysis,analysis,clinical data,"Survival analysis showed that the abundance of PODXL+ EC was negatively correlated with CESC patients’ survival (P = 0.043, log-rank test; Fig. 6G), while there was some evidence of a possible positive cor relation between MHChigh EC frequency and survival time (P = 0.072, log-rank test; Fig. 6G)."
